,Qty,2023-05-03,2023-05-03_Value,2023-05-04,2023-05-04_Value,2023-05-05,2023-05-05_Value,2023-05-08,2023-05-08_Value,2023-05-09,2023-05-09_Value
BAJAJ-AUTO.NS,166,4447.85009765625,738343.1162109375,4457.7001953125,739978.232421875,4463.10009765625,740874.6162109375,4549.25,755175.5,4528.85009765625,751789.1162109375
BAJAJFINSV.NS,530,1347.0,713910.0,1374.449951171875,728458.4741210938,1359.25,720402.5,1404.800048828125,744544.0258789062,1408.699951171875,746610.9741210938
COLPAL.NS,220,1584.550048828125,348601.0107421875,1584.449951171875,348578.9892578125,1567.449951171875,344838.9892578125,1573.0999755859375,346081.99462890625,1582.050048828125,348051.0107421875
DIXON.NS,25,2908.25,72706.25,2898.0,72450.0,2890.550048828125,72263.75122070312,2903.10009765625,72577.50244140625,2898.949951171875,72473.74877929688
HDFCBANK.NS,100,1693.1500244140625,169315.00244140625,1727.800048828125,172780.0048828125,1625.6500244140625,162565.00244140625,1644.449951171875,164444.9951171875,1644.5,164450.0
HEROMOTOCO.NS,25,2502.64990234375,62566.24755859375,2514.5,62862.5,2547.25,63681.25,2576.35009765625,64408.75244140625,2591.550048828125,64788.751220703125
HDFC.NS,50,2787.75,139387.5,2862.050048828125,143102.50244140625,2702.300048828125,135115.00244140625,2735.60009765625,136780.0048828125,2750.050048828125,137502.50244140625
INFY.NS,832,1269.1500244140625,1055932.8203125,1273.550048828125,1059593.640625,1259.0999755859375,1047571.1796875,1265.5999755859375,1052979.1796875,1270.699951171875,1057222.359375
ITC.NS,5000,427.1499938964844,2135749.969482422,424.6000061035156,2123000.030517578,428.75,2143750.0,431.4500122070313,2157250.0610351567,423.7999877929688,2118999.938964844
KANSAINER.NS,9900,390.2000122070313,3862980.12084961,394.2999877929688,3903569.879150391,394.1499938964844,3902084.9395751953,402.6499938964844,3986234.9395751953,396.8999938964844,3929309.9395751953
LT.NS,1080,2356.300048828125,2544804.052734375,2356.89990234375,2545451.89453125,2377.5,2567700.0,2365.39990234375,2554631.89453125,2374.35009765625,2564298.10546875
M&M.NS,1440,1235.449951171875,1779047.9296875,1231.699951171875,1773647.9296875,1211.199951171875,1744127.9296875,1231.800048828125,1773792.0703125,1245.449951171875,1793447.9296875
NESTLEIND.NS,25,21875.69921875,546892.48046875,21693.75,542343.75,22019.849609375,550496.240234375,21983.25,549581.25,21971.349609375,549283.740234375
PIDILITIND.NS,7900,2463.949951171875,19465204.614257812,2465.14990234375,19474684.228515625,2472.10009765625,19529590.771484375,2450.699951171875,19360529.614257812,2471.75,19526825.0
PGHH.NS,50,13941.599609375,697079.98046875,13972.650390625,698632.51953125,13949.849609375,697492.48046875,13832.2001953125,691610.009765625,13785.7998046875,689289.990234375
RELIANCE.NS,402,2420.10009765625,972880.2392578125,2448.0,984096.0,2441.75,981583.5,2471.89990234375,993703.7607421875,2479.550048828125,996779.1196289062
TCS.NS,408,3179.89990234375,1297399.16015625,3220.699951171875,1314045.580078125,3230.699951171875,1318125.580078125,3250.60009765625,1326244.83984375,3283.25,1339566.0
TATASTEEL.NS,2500,109.6999969482422,274249.9923706055,111.0500030517578,277625.0076293945,108.6500015258789,271625.00381469727,109.5500030517578,273875.0076293945,109.5500030517578,273875.0076293945
TITAN.NS,50,2654.050048828125,132702.50244140625,2670.39990234375,133519.9951171875,2732.89990234375,136644.9951171875,2751.25,137562.5,2748.39990234375,137419.9951171875
ULTRACEMCO.NS,62,7507.2001953125,465446.412109375,7502.25,465139.5,7628.7998046875,472985.587890625,7735.4501953125,479597.912109375,7716.25,478407.5
