,Qty,2023-04-03,2023-04-05,2023-04-06,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-24,2023-04-25,2023-04-26,2023-04-27,2023-04-28,2023-05-02,2023-05-03,2023-05-04,2023-05-05,2023-05-08,2023-05-09,2023-05-10,2023-05-11,2023-05-12,2023-05-15,2023-05-16,2023-05-17,2023-05-18,2023-05-19,2023-05-22,2023-05-23,2023-05-24,2023-05-25,2023-05-26
BAJAJ-AUTO.NS,166,3993.75,4023.14990234375,4033.60009765625,4061.60009765625,4177.39990234375,4286.0,4288.35009765625,4254.35009765625,4209.25,4265.7998046875,4314.35009765625,4308.2998046875,4332.10009765625,4342.5498046875,4299.0,4408.2001953125,4431.9501953125,4498.0,4447.85009765625,4457.7001953125,4463.10009765625,4549.25,4528.85009765625,4555.9501953125,4547.89990234375,4538.89990234375,4564.5498046875,4538.35009765625,4529.35009765625,4518.64990234375,4483.2001953125,4523.25,4498.10009765625,4517.60009765625,4644.0,4615.9501953125
BAJAJFINSV.NS,530,1282.949951171875,1279.300048828125,1303.949951171875,1305.050048828125,1323.199951171875,1321.550048828125,1341.300048828125,1341.1500244140625,1335.199951171875,1331.3499755859375,1332.0999755859375,1317.9000244140625,1319.75,1345.800048828125,1334.699951171875,1360.0,1354.6500244140625,1349.050048828125,1347.0,1374.449951171875,1359.25,1404.800048828125,1408.699951171875,1414.449951171875,1420.4000244140625,1423.449951171875,1421.3499755859375,1428.3499755859375,1415.4000244140625,1415.449951171875,1415.0999755859375,1413.0,1437.25,1426.449951171875,1427.3499755859375,1439.1500244140625
COLPAL.NS,220,1524.5,1541.1500244140625,1538.5999755859375,1536.8499755859375,1537.1500244140625,1556.6500244140625,1549.4000244140625,1559.199951171875,1551.449951171875,1528.949951171875,1536.6500244140625,1539.949951171875,1570.0999755859375,1567.1500244140625,1574.5999755859375,1579.300048828125,1595.0999755859375,1575.3499755859375,1584.550048828125,1584.449951171875,1567.449951171875,1573.0999755859375,1582.050048828125,1604.550048828125,1626.1500244140625,1627.699951171875,1673.6500244140625,1660.949951171875,1663.4000244140625,1635.5999755859375,1608.75,1612.1500244140625,1585.5,1594.0,1581.199951171875,1600.5
DIXON.NS,25,2893.0,2929.14990234375,2887.449951171875,2977.050048828125,2968.60009765625,2926.39990234375,2982.550048828125,2957.85009765625,2976.89990234375,3010.39990234375,2987.550048828125,2930.39990234375,2893.800048828125,2862.60009765625,2832.60009765625,2878.699951171875,2915.300048828125,2909.10009765625,2908.25,2898.0,2890.550048828125,2903.10009765625,2898.949951171875,2892.25,2911.699951171875,2867.550048828125,2937.85009765625,2912.550048828125,2961.10009765625,2983.699951171875,3035.35009765625,3231.550048828125,3275.64990234375,3514.300048828125,3597.85009765625,3661.199951171875
HDFCBANK.NS,100,1610.550048828125,1653.75,1666.3499755859375,1658.449951171875,1663.300048828125,1684.9000244140625,1692.449951171875,1666.6500244140625,1659.5999755859375,1665.699951171875,1671.9000244140625,1674.5999755859375,1688.1500244140625,1664.1500244140625,1671.800048828125,1681.0,1687.5999755859375,1687.25,1693.1500244140625,1727.800048828125,1625.6500244140625,1644.449951171875,1644.5,1652.0999755859375,1653.199951171875,1667.800048828125,1675.800048828125,1647.300048828125,1638.449951171875,1645.0,1646.9000244140625,1641.050048828125,1637.199951171875,1615.800048828125,1609.5999755859375,1615.800048828125
HEROMOTOCO.NS,25,2431.10009765625,2432.199951171875,2426.449951171875,2460.64990234375,2469.85009765625,2477.300048828125,2447.050048828125,2465.949951171875,2439.699951171875,2445.949951171875,2448.550048828125,2459.35009765625,2501.050048828125,2497.75,2505.14990234375,2508.64990234375,2558.60009765625,2495.89990234375,2502.64990234375,2514.5,2547.25,2576.35009765625,2591.550048828125,2586.050048828125,2585.449951171875,2605.89990234375,2691.89990234375,2686.0,2722.949951171875,2735.14990234375,2713.0,2692.14990234375,2710.449951171875,2738.699951171875,2732.800048828125,2745.14990234375
HDFC.NS,50,2628.949951171875,2705.949951171875,2729.300048828125,2727.75,2742.0,2769.25,2786.85009765625,2742.050048828125,2723.699951171875,2744.800048828125,2743.0,2759.39990234375,2787.550048828125,2757.0,2761.449951171875,2772.89990234375,2775.60009765625,2790.0,2787.75,2862.050048828125,2702.300048828125,2735.60009765625,2750.050048828125,2752.64990234375,2767.14990234375,2776.300048828125,2784.35009765625,2722.64990234375,2706.14990234375,2716.0,2710.949951171875,2704.75,2705.85009765625,2671.75,2647.39990234375,2650.60009765625
INFY.NS,832,1410.8499755859375,1423.550048828125,1421.9000244140625,1427.5999755859375,1406.1500244140625,1428.300048828125,1389.199951171875,1258.300048828125,1259.3499755859375,1232.199951171875,1223.4000244140625,1227.3499755859375,1226.300048828125,1224.9000244140625,1227.550048828125,1246.25,1252.75,1277.449951171875,1269.1500244140625,1273.550048828125,1259.0999755859375,1265.5999755859375,1270.699951171875,1263.25,1256.0999755859375,1245.199951171875,1258.3499755859375,1264.300048828125,1246.9000244140625,1246.0,1268.9000244140625,1292.800048828125,1300.050048828125,1298.6500244140625,1304.3499755859375,1317.449951171875
ITC.NS,5000,378.8999938964844,386.3999938964844,387.3500061035156,388.54998779296875,396.0,393.54998779296875,395.6000061035156,400.1499938964844,398.5,398.75,400.29998779296875,408.25,408.70001220703125,411.54998779296875,412.25,416.0,425.54998779296875,424.45001220703125,427.1499938964844,424.6000061035156,428.75,431.45001220703125,423.79998779296875,425.3500061035156,420.3999938964844,420.45001220703125,427.79998779296875,423.95001220703125,427.6000061035156,419.70001220703125,419.8500061035156,424.75,429.1499938964844,433.5,441.1499938964844,443.6000061035156
KANSAINER.NS,9900,388.20001220703125,389.8999938964844,391.8999938964844,386.8999938964844,385.79998779296875,385.3999938964844,381.20001220703125,380.1000061035156,380.0,383.04998779296875,381.1000061035156,382.25,381.95001220703125,375.75,374.95001220703125,379.95001220703125,380.1499938964844,380.54998779296875,390.20001220703125,394.29998779296875,394.1499938964844,402.6499938964844,396.8999938964844,404.95001220703125,410.29998779296875,418.3500061035156,410.6499938964844,410.70001220703125,408.70001220703125,415.3999938964844,408.3999938964844,408.1000061035156,409.8999938964844,411.20001220703125,410.1499938964844,410.29998779296875
